hanyu,pinyin,日本語,correct,hsk_level,explanation,w1,w2,w3,zero_based_correct_number,
爱,ai4,愛する,愛する,1,"日本語の「愛」から「心」が抜けて「友」になっていますね。
《我爱你》(wo ai ni) 私はあなたを愛してます。",嫌い,貧しい,飲む,3,
八,ba1,八,8,1,"バー。1声なので、高く発音するように心掛けましょう。
中国では縁起のいい数とされています。",6,7,9,3,
爸爸,ba4 ba5,父,父,1,"音は「パパ」じゃなくて「バァバ」に近いですね。
なお、祖父は、中国語で《爷爷》(ye2 ye)です。
こちらも「父」がつくので注意しましょう。",おばあさん,おばさん,祖父,1,
杯子,bei1 zi5,カップ,コップ,1,《四个杯子》 4つのコップ,イス,机,妻,3,
北京,Bei3 jing1,北京,北京,1,東京は、中国語で《东京》(dong jing)です。,東京,ニューヨーク,ロンドン,2,
本,ben3,本,【量詞】冊,1,"《一本书》(yì běn shū) 1冊の本
《两本书》(liǎng běn shū) 2冊の本

【基本的な量詞】
《个》 (ge)：様々なもの、個
《岁》 (suì)：年齢、歳
《本》 (běn)：本、冊
《些》 (xiē)：数の定まらないもの
《块》 (kuài)：塊やお金、かたまり
《分钟》 (fēn zhōng)：時間、〜分間",本気,すみません,パソコン,2,
不,bu4,ではありません,〜ではありません,1,,不気味,不味い(まずい),〜しないで,1,
不客气,bu4 ke4 qi5,どういたしまして,どういたしまして,1,,なぜなら,しかしながら,とりわけ,2,
菜,cai4,一品,一品,1,"「ツァイ」という発音に近いです。「カイ」等ではないです。
前菜の菜のように、野菜ではなく、料理を意味します。",野菜,果物,水,0,
茶,cha2,ティー,お茶,1,"【飲み物】
《水》(shui3)
《牛奶》(niu2 nai3)  牛乳
《茶》(cha2) お茶
《咖啡》(ka1 fei1) コーヒー",コーヒー,水,お湯,3,
吃,chi1,食べる,食べる,1,"「飲む」は、《喝》(he1)

なお、日本語での「吃」は、「吃る(どもる)」「吃音(キツオン)」「吃逆(しゃっくり・キツギャク)」などで使われる。
「食べる」という意味もあるらしい。",喉が渇く,飲む,料理を作る,2,
出租车,chu1 zu1 che1,タクシー,タクシー,1,"【乗り物】
《出租车》(chu1 zu1 che1) タクシー
《火车》(huo3 che1) 列車、電車
《飞机》(fei1 ji1) 飛行機",電車,船,税金をだす,0,
打电话,da3 dian4 hua4,電話,電話する、電話をかける,1,,パソコンで遊ぶ,テレビを見る,はがきを出す,1,
大,da4,大きい,大きい,1,"「ダー」
《大》 da4
《小》 xiao3
《少》 shao3
《多》 duo1",小さい,空,電車,3,
的,de5,の,の,1,,ですか？,ホテル,すみません,1,
点,dian3,時,時,1,ディエン。,分,秒,起きる,1,
电脑,dian4 nao3,パソコン,パソコン,1,電脳空間といったら、インターネットぽいですよね。,映画,テレビ,郵便局,3,
电视,dian4 shi4,テレビ,テレビ,1,,映画,パソコン,郵便局,3,
电影,dian4 ying3,映画,映画,1,,テレビ,パソコン,郵便局,2,
东西,dong1 xi5,事、物,事、物,1,,東西南北,左右,上下,3,
都,dou1,全て,全て,1,,お城,ホテル,すみません,1,
读,du2,読む,読む,1,,買う,売る,叫ぶ,2,
对不起,dui4 bu5 qi3,すみません,すみません,1,,おはようございます,どういたしまして,眠れません,0,
多,duo1,もっと,もっと,1,"《大》 da4
《小》 xiao3
《少》 shao3
《多》 duo1",どうする,おはよう,ごめんなさい,2,
多吃,duo1 chi1,,たくさん食べて,1,,食べすぎ,吐く,気持ちが悪い,2,
多年,duo1 nian3,,長年,1,,留年,年長の子供,年寄り,1,
多少,duo1 shao3,どの位,どの位,1,,知らない,小籠包,上海,0,
多少钱,duo1 shao3 qian2,,いくらですか,1,"《这个多少钱》 これは、いくらですか。

《多少钱》(duo1 shao3 qian2) 値段はいくら How much
《什么》(shen2 me5) 何 What
《哪儿》(na3 r5) どこで Where
《谁》(shei2) 誰 Who",大小の銭,きっと大丈夫,ごめんください,2,
儿子,er2 zi5,息子,息子,1,"《儿》(er2)は、児童の簡体字。繁体字だと、兒。
《几》(ji)ではなく、《儿》(er2)なので注意。",他人,身内,双子,2,
二,er4,二つ,2,1,,3,4,1,2,
饭馆,fan4 guan3,レストラン,レストラン,1,"余談ですが、中国に「いただきます」をいう文化はないです。
「いただきます」をいうのは、日本らしい文化です。",コンサート,いただきます,廊下,1,
飞机,fei1 ji1,航空機,飛行機,1,,電車,タクシー,バス,2,
分钟,fen1 zhong1,分,【量詞】分,1,"《钟》は、鐘の簡体字。

【HSK2級以上の単語】
《钟》は、置き時計の意味がある。

《手表》(shou3 biao3) 腕時計
《挂钟》 掛け時計
《座钟》 置き時計
《闹钟》 目覚まし時計",時,秒,置き時計,2,
高兴,gao1 xing4,幸せ、嬉しい,幸せ、嬉しい,1,《兴》(xing4) は、興の簡体字。,悪い,逃げる,高い,2,
个,ge4,【量詞】個,個,1,,【量詞】冊,弟,皆,1,
工作,gong1 zuo4,仕事,仕事,1,水面下での事前の働きの意味での「工作」はあるが、「図画工作」の意味での「工作」はない。,図書館,公務員,図画工作,3,
狗,gou3,犬,犬,1,"天狗(テング)の狗。日本語で「狗(いぬ)」とも読む。

《猫》(mao1)が、ネコ。
《熊猫》(xióng māo)が、パンダ。
《大熊猫》(dà xióng māo)が、ジャイアント・パンダ。
(パンダはより上級の単語です。HSK3級)",猫,パンダ,人間,2,
汉语,Han4 yu3,中国語,中国語,1,《汉》は、漢字の漢の簡体字です。,日本語,英語,韓国語,3,
好,hao3,良い、とても,良い、とても,1,,嫌い,女性,女子高生,2,
喝,he1,飲む,飲む,1,,喉が渇く,嫌い,わからない,0,
和,he2,と,と,1,"【例】
《狗和猫》(gou3 he2 mao1) イヌとネコ
《狗》(gou3)が、イヌ。
《猫》(mao1)が、ネコ。",なぜならば,それこそ,またもや,0,
狗和猫,gou3 he2 mao1,,イヌとネコ,1,"《狗》(gou3)が、イヌ。
《猫》(mao1)が、ネコ。
《和》が、andを表す「と」の意味です。",日本猫,天狗がネコと遊ぶ,天狗のネコ,1,
很,hen3,非常に,とても,1,,辺,変,それでもなお,3,
后面,hou4 mian5,後ろ,後ろ,1,,前,前向きに,皇后様,0,
回,hui2,帰る,帰る,1,,回り道をする,(帰らないで)遊ぶ,できる,0,
回家,hui2 jia,家に帰る,家に帰る,1,《回》が、「帰る」という動詞。,車を運転する,家を回す,家で遊ぶ,0,
会,hui4,できる,〜できる,1,【助動詞】〜できる,回り道をする,(帰らないで)遊ぶ,帰る,1,
火车,huo3 che1,,列車、電車,1,"《车》(che1)は、車の簡体字。
火は、火室に石炭をくべて走らせた機関車を走らせてたことが由来だが、
電車になった今でも口語では電車のことを「《火车》」と呼ぶ。",車,タクシー乗り場,バスターミナル,3,
火车站,huo3 che1 zhan4,鉄道駅,(鉄道の)駅,1,,電車,タクシー乗り場,バスターミナル,0,
几,ji3,どのくらい,どのくらい,1,,なぜなら,それこそ,またもや,0,
家,jia1,家,家、家族,1,「《大家》(da4 jia1)」は「皆さん」という意味で、大勢の人に呼びかけるときに使います。,みなさん,和やかな,好む,2,
叫,jiao4,呼ぶ,呼ぶ,1,"《你叫什么名字？》 あなたは何という名前ですか
《什么》が何(what)、《名字》が名前(name)に相当する。",話す,静かに話す,飛ぶ,3,
叫什么名字,jiao4 shen me ming zi,,なんという名前ですか,1,なんという名前ですか,どこから来ましたか,笑えない,名前を叫べ,3,
今天,jin1 tian1,今日,今日,1,,昨日,今年,今しがた,3,
九,jiu3,九つ,9,1,,7,10,8,1,
开,kai1,開ける,開ける、(車や機械を)運転する,1,《开》は、「開」の簡体字。,閉める,帰る,見る,3,
开车,kai1 che1,,車を運転する,1,"《开》は、「開」の簡体字。
《车》は、「車」の簡体字。",車を見つける,車を蹴る,車を売る,1,
看,kan1,見る,見る・読む,1,《看书》(kan1 shu1) 本を読む,開ける,閉じる,消す,0,
看见,kan4 jian4,見る,見る,1,,開ける,閉じる,消す,2,
块,kuai4,塊,人民元の元の口語表現、【量詞】塊(かたまり),1,"《块》は、「塊(カイ・かたまり)」の簡体字。
《一块钱》 1つのお金(1枚の硬貨 1元)",運ぶ,手に取る,速く動く,1,
来,lai2,来る,来る,1,,帰る,帰り道,遊ぶ,0,
老师,lao3 shi1,教師,教師、先生,1,"お医者さんを表す先生は、「《医生》」です。
イケメンは「《帅》(shuai)」です。横棒が一本ないですね。",お医者さん,老いた先生,静かにする,1,
了,le5,過去形を表す,〜した,1,完了の完了です。,〜する予定,〜しなければならない,〜ほど,1,
冷,leng3,冷たい,寒い、冷たい,1,,暑い,水,起きる,0,
里,li3,中,中,1,,外,帰る,先生,0,
零,ling2,ゼロ,0,1,,1,2,3,3,
六,liu4,六,6,1,,5,7,8,2,
妈妈,ma1 ma5,ママ,ママ,1,"口偏だと、疑問を示す「《吗》(ma)」となります。
父は、《爸爸》(ba ba)です。",パパ,おばあさん,ばあさん,0,
吗,ma5,疑問を表す,疑問を表す,1,,馬,母,味方,0,
买,mai3,購入する,買う,1,"《买东西》 買い物をする。
《东西》は、物(something)の意味。

《去买东西》(qu4 mai3 dong1 xi) 買い物しに行く。
(意味合い的にも動詞が2つ並んでいる連動文)

《买》は、HSK2級相当の「売る」の《卖》（mai4）に似ているので注意。",売る,猫,ダンスする,0,
