id,statement,choices,correct_option,kai,kamoku,problem_no,theme,has_theme
h27a-kansa-1-a,"財務諸表監査における監査人の役割と責任に関する出題である。
監査人は，財務諸表に全体として重要な虚偽の表示がないことについて合理的な保証
 を得る責任を負っており，財務諸表の重要な虚偽の表示を発見できなかったとしても，
 独立性を保持するとともに，適切な水準の正当な注意を払い，職業的懐疑心を保持して
 監査を実施したのであれば，責任を問われない可能性がある。","[""正"", ""誤""]",0,h27a,kansa,1,財務諸表監査における監査人の役割と責任,true
h27a-kansa-1-i,"財務諸表監査における監査人の役割と責任に関する出題である。
財務諸表監査においては，監査人は，企業の内部統制によって財務諸表の重要な虚偽
 の表示が防止又は適時に発見されない可能性を評価しなければならないが，最終的に表
 明される監査意見において，財務諸表の作成に関係する内部統制の有効性に関する保証
 は提供していない。","[""正"", ""誤""]",0,h27a,kansa,1,財務諸表監査における監査人の役割と責任,true
h27a-kansa-1-u,"財務諸表監査における監査人の役割と責任に関する出題である。
監査人は，財務諸表に重要な虚偽の表示をもたらす不正の発見に対して責任を負って
 おり，財務諸表が一般に公正妥当と認められる企業会計の基準に準拠して，会社の財政
 状態，経営成績及びキャッシュ・フローの状況をすべての重要な点において適正に表示
 していることを認める旨の監査意見は，監査人がこの責任を果たしたことを意味してい
 る。","[""正"", ""誤""]",1,h27a,kansa,1,財務諸表監査における監査人の役割と責任,true
h27a-kansa-1-e,"財務諸表監査における監査人の役割と責任に関する出題である。
財務諸表監査において行われる，継続企業の前提に重要な疑義があるかどうかの評価 は，被監査会社の存続可能性の評価であり，したがって，監査人が無限定適正意見を もって提供する保証には，被監査会社の存続可能性に問題はないという意味が含まれて いる。","[""正"", ""誤""]",1,h27a,kansa,1,財務諸表監査における監査人の役割と責任,true
h27a-kansa-2-a,"公認会計士法に関する出題である。
公認会計士が，故意に，虚偽，錯誤又は脱漏のある財務書類を虚偽，錯誤及び脱漏の
 ないものとして証明した場合で，内閣総理大臣によって登録抹消の処分を受けたときで
 あっても，処分の日から所定の期間が経過し，内閣総理大臣の認可を受けた者は，公認
 会計士として再登録することができる。","[""正"", ""誤""]",1,h27a,kansa,2,公認会計士法,true
h27a-kansa-2-i,"公認会計士法に関する出題である。
公認会計士が，公認会計士法で定める就職制限会社に該当しない会社の役員に就いて いる場合で，当該会社が就職制限会社に該当する会社と合併することとなったときに は，当該公認会計士は，役員に就任する際に当該合併について知らなかったこと，及び 内閣総理大臣の承認を得たことを条件として，合併後に存続する会社の役員に就くこと ができる。","[""正"", ""誤""]",0,h27a,kansa,2,公認会計士法,true
h27a-kansa-2-u,"公認会計士法に関する出題である。
監査法人が，その業務に係る契約の締結の方針について，社員の一部をもって構成さ れる合議体で決定する場合には，当該合議体を構成する社員のうち 75 %以上は公認会 計士である社員でなければならない。","[""正"", ""誤""]",0,h27a,kansa,2,公認会計士法,true
h27a-kansa-2-e,"公認会計士法に関する出題である。
公認会計士が，公認会計士法上の大会社等の財務書類に係る監査証明業務を，他の監
 査法人と共同して行っている場合において，当該他の監査法人が解散したときには，監
 査契約を解除しなければならない。","[""正"", ""誤""]",1,h27a,kansa,2,公認会計士法,true
h27a-kansa-3-a,"金融商品取引法監査制度に関する出題である。
公認会計士は，金融商品取引法に基づいて実施される財務書類の監査において，財務
 計算に関する書類の適正性の確保に影響を及ぼすおそれのある法令違反事実を発見し，
 それを被監査会社に対して書面で通知したにもかかわらず，被監査会社が一定期間を経
 ても適切な措置をとらない場合には，被監査会社に事前に通知したうえで当該事項につ
 いての意見を内閣総理大臣に対して申し出なければならない。","[""正"", ""誤""]",0,h27a,kansa,3,金融商品取引法監査制度,true
h27a-kansa-3-i,"金融商品取引法監査制度に関する出題である。
公認会計士が，金融商品取引法に基づく財務書類の監査において，故意又は過失によ り虚偽の証明を行ったとして，当該虚偽の証明により有価証券取得者に生じた損害を賠 償する責任を問われた場合には，いわゆる「挙証責任の転換」により，故意又は過失がな かったことを公認会計士自身が証明すれば免責となる可能性があるが，このことを定め た明文規定は金融商品取引法には存在しない。","[""正"", ""誤""]",1,h27a,kansa,3,金融商品取引法監査制度,true
h27a-kansa-3-u,"金融商品取引法監査制度に関する出題である。
有価証券報告書の提出義務がある会社が発行する臨時報告書は，有価証券の募集又は
 売出しが外国において行われるとき，その他公益又は投資者保護のため必要かつ適当な
 ものとして内閣府令で定める場合に該当することとなったときに，内閣総理大臣に提出
 されなければならないが，その記載内容に関する監査証明は不要である。","[""正"", ""誤""]",0,h27a,kansa,3,金融商品取引法監査制度,true
h27a-kansa-3-e,"金融商品取引法監査制度に関する出題である。
金融商品取引法に基づく財務諸表の監査証明を行うに当たって，公認会計士が従うべ
 き監査の基準は，金融庁企業会計審議会が公表する基準，すなわち，監査基準，中間監
 査基準，監査に関する品質管理基準，四半期レビュー基準，財務報告に係る内部統制の
 評価及び監査の基準，監査における不正リスク対応基準である。","[""正"", ""誤""]",1,h27a,kansa,3,金融商品取引法監査制度,true
h27a-kansa-4-a,"会社法監査制度に関する出題である。
委員会設置会社を除く取締役会設置会社で，公開会社でない会計参与設置会社は，監
 査役を置かなくてもよい。","[""正"", ""誤""]",0,h27a,kansa,4,会社法監査制度,true
h27a-kansa-4-i,"会社法監査制度に関する出題である。
監査役が 3 人以上ある場合で，監査役が会計監査人を解任するときは，監査役の過半 数の同意をもって行わなければならず，その場合，監査役はその旨及び解任の理由を株 主総会において報告しなければならない。","[""正"", ""誤""]",1,h27a,kansa,4,会社法監査制度,true
h27a-kansa-4-u,"会社法監査制度に関する出題である。
会計監査人は，その職務を行うため必要があるときは，子会社に対して会計に関する
 報告を求め，子会社の財産の状況を調査することができるが，子会社の業務の状況を調
 査する場合には，当該会計監査人設置会社の監査役若しくは監査役会又は監査委員会の
 承認を得なければならない。","[""正"", ""誤""]",1,h27a,kansa,4,会社法監査制度,true
h27a-kansa-4-e,"会社法監査制度に関する出題である。
会計監査人設置会社である委員会設置会社において，計算書類が法令又は定款に適合 するかどうかについて会計監査人と監査委員会又は監査委員の意見が異なる場合であっ ても，定時株主総会において会計監査人の出席を求める決議がない限り，会計監査人 は，定時株主総会に出席して意見を述べる必要はない。","[""正"", ""誤""]",0,h27a,kansa,4,会社法監査制度,true
h27a-kansa-5-a,"職業的懐疑心に関する出題である。
職業的懐疑心の考え方は，監査基準の一般基準に導入された時点の，経営者が誠実で あるとも不誠実であるとも想定しないという中立的観点から，不正リスク対応基準に よって，経営者が不誠実であると想定する観点へと変化した。","[""正"", ""誤""]",1,h27a,kansa,5,職業的懐疑心,true
h27a-kansa-5-i,"職業的懐疑心に関する出題である。
四半期レビューにおける保証水準は，年度の財務諸表の監査より低く設定されている
 が，監査人は，年度の財務諸表の監査と同様に，四半期レビューにおいても職業的専門
 家としての正当な注意を払い，職業的懐疑心を保持しなければならない。","[""正"", ""誤""]",0,h27a,kansa,5,職業的懐疑心,true
h27a-kansa-5-u,"職業的懐疑心に関する出題である。
監査人が，過去の経験に基づいて，被監査会社の経営者を信頼できるものと認識した
 場合には，職業的懐疑心を保持する必要性は軽減される。","[""正"", ""誤""]",1,h27a,kansa,5,職業的懐疑心,true
h27a-kansa-5-e,"職業的懐疑心に関する出題である。
職業的懐疑心の保持は，監査証拠を批判的に評価するために必要とされるので，監査
 契約の締結時には求められていない。","[""正"", ""誤""]",0,h27a,kansa,5,職業的懐疑心,true
h27a-kansa-6-a,"内部統制監査に関する出題である。
経営者による評価の範囲に含められるべきであると監査人が判断した内部統制を，経
 営者が評価の対象としなかった場合には，監査人は内部統制の評価範囲の制約に関する
 除外事項を付した限定付適正意見の表明又は意見の不表明を検討しなければならない。","[""正"", ""誤""]",0,h27a,kansa,6,内部統制監査,true
h27a-kansa-6-i,"内部統制監査に関する出題である。
事業規模が小規模で，比較的簡素な構造を有している組織においては，内部統制監査
 の効率性の観点から，監査人は，内部統制の実施状況の検証として，監査役が直接行っ
 た棚卸の立会の結果を利用することはできるが，経営者が直接行ったモニタリングの結
 果を利用することはできない。","[""正"", ""誤""]",1,h27a,kansa,6,内部統制監査,true
h27a-kansa-6-u,"内部統制監査に関する出題である。
内部監査人が，内部統制の有効性の評価を行っている場合において，監査人が内部監 査人の能力及び独立性を検討し，内部監査人の実施した作業の一部を自ら検証した結 果，適切であると判断されたときであっても，内部監査人の作業を自己の検証そのもの として利用することはできない。","[""正"", ""誤""]",0,h27a,kansa,6,内部統制監査,true
h27a-kansa-6-e,"内部統制監査に関する出題である。
内部統制監査において，トップ・ダウン型のリスク・アプローチが採用された背景に
 は，財務諸表監査に事業上のリスク等を重視したリスク・アプローチが導入されたこと
 により，財務諸表全体レベルでの重要な虚偽表示リスクを評価することが監査人に求め
 られるようになったことがある。","[""正"", ""誤""]",1,h27a,kansa,6,内部統制監査,true
h27a-kansa-7-a,"四半期レビューに関する出題である。
監査人は，四半期財務諸表が，年度の財務諸表の作成の基礎となる会計記録に基づい て作成されていることを確かめるため，四半期財務諸表と当該会計記録との突合を行 い，両者が一致又は調整後一致することを確認するとともに，当該会計記録の適正性に ついて証拠を入手しなければならない。","[""正"", ""誤""]",1,h27a,kansa,7,四半期レビュー,true
h27a-kansa-7-i,"四半期レビューに関する出題である。
監査人は，四半期レビューの過程で気づいた数値間の矛盾又は異常な変動についての
 質問に対する回答が合理的かつ整合的であると判断した場合には，その回答を裏付ける
 ための証憑突合を実施することは求められていない。","[""正"", ""誤""]",0,h27a,kansa,7,四半期レビュー,true
h27a-kansa-7-u,"四半期レビューに関する出題である。
四半期レビューにおいては，実証手続としての分析的手続を，業種の特性等を踏まえ
 てきめ細やかに実施しなければならないが，年度の財務諸表監査に比べて精度の高い推
 定値を算出することは求められていない。","[""正"", ""誤""]",1,h27a,kansa,7,四半期レビュー,true
h27a-kansa-7-e,"四半期レビューに関する出題である。
四半期レビューを実施するに当たって設定する重要性の基準値は，年度の財務諸表の
 監査に係る重要性の基準値以下とすることが求められている。","[""正"", ""誤""]",0,h27a,kansa,7,四半期レビュー,true
h27a-kansa-8-a,"監査人の交代に関する出題である。
前任監査人は，監査人予定者からの求めの有無にかかわらず，監査の過程で自らが認
 識した特別な検討を必要とするリスクを生ずる事項や，監査手続を実施した結果重要な
 虚偽の表示の可能性を示した事項を，監査人予定者に対して伝達しなければならない。","[""正"", ""誤""]",0,h27a,kansa,8,監査人の交代,true
h27a-kansa-8-i,"監査人の交代に関する出題である。
監査人予定者は，前任監査人から監査業務の十分な引継を受けられない場合には，監
 査契約の締結に伴うリスクを低い水準に抑えることができるか否かについて，より慎重
 な検討が求められるが，これには第三者への問い合わせ等により阻害要因に関する情報
 を収集することが含まれる。","[""正"", ""誤""]",0,h27a,kansa,8,監査人の交代,true
h27a-kansa-8-u,"監査人の交代に関する出題である。
監査人予定者は，監査契約の可否を適切に判断するため，前任監査人と会社との間に
 会計処理，表示及び監査手続に関する会社との間の重要な意見の相違があるかどうかを
 問い合わせ，相違がある場合には，監査契約の締結前に，前任監査人からその内容に関
 する回答を書面で得ておかなければならない。","[""正"", ""誤""]",1,h27a,kansa,8,監査人の交代,true
h27a-kansa-8-e,"監査人の交代に関する出題である。
前任監査人は，監査人予定者の求めに応じて，前任監査人が識別した監査上の重要な
 事項や，期首残高に関連する監査調書を閲覧させる必要があるが，既に会社と監査契約
 を締結した監査人からはその求めがあっても閲覧させる必要はない。","[""正"", ""誤""]",1,h27a,kansa,8,監査人の交代,true
h27a-kansa-9-a,"公認会計士が行う保証業務に関する出題である。
保証業務は，保証業務リスクの程度により合理的保証業務の場合と限定的保証業務の
 場合とに分類されるが，いずれにおいても，保証業務リスクの構成要素である固有リス
 ク及び統制リスクを公認会計士が検討する程度は同じである。","[""正"", ""誤""]",1,h27a,kansa,9,公認会計士が行う保証業務,true
h27a-kansa-9-i,"公認会計士が行う保証業務に関する出題である。
主題に責任を負う者によって主題情報が想定利用者に提示されず，公認会計士が主題
 に対する結論を報告する場合，公認会計士は，すべての重要な点において，一定の規準
 に照らして適正性や有効性等がないと考えられるような事項が発見されなかったかを報
 告する消極的形式を採用しなければならない。","[""正"", ""誤""]",1,h27a,kansa,9,公認会計士が行う保証業務,true
h27a-kansa-9-u,"公認会計士が行う保証業務に関する出題である。
定量的か定性的か，客観的か主観的か，といった主題の性格は，公認会計士が主題情
 報についての保証を得る際の正確性及び入手可能な証拠の説得力に影響するため，保証
 報告書にはこうした主題の性格について記載することが必要である。","[""正"", ""誤""]",0,h27a,kansa,9,公認会計士が行う保証業務,true
h27a-kansa-9-e,"公認会計士が行う保証業務に関する出題である。
公認会計士が，主題に責任を負う者との間で合意された手続に基づいて発見した事項
 のみを報告する業務は，そこでいかなる結論も報告されず，いかなる保証も提供されな
 いため保証業務ではない。","[""正"", ""誤""]",0,h27a,kansa,9,公認会計士が行う保証業務,true
h27a-kansa-10-a,"以下は，監査基準「第三 実施基準」からの抜粋である。監査要点に関する出題である。
有価証券の A に関する監査要点を直接的に立証するには，株券や債券のような 文書の閲覧が実施される。","[""正"", ""誤""]",0,h27a,kansa,10,以下は，監査基準「第三 実施基準」からの抜粋である。監査要点,true
h27a-kansa-10-i,"以下は，監査基準「第三 実施基準」からの抜粋である。監査要点に関する出題である。
不動産の B の帰属に関する監査要点を直接的に立証するには，登記簿謄本や契 約書の閲覧が実施される。","[""正"", ""誤""]",0,h27a,kansa,10,以下は，監査基準「第三 実施基準」からの抜粋である。監査要点,true
h27a-kansa-10-u,"以下は，監査基準「第三 実施基準」からの抜粋である。監査要点に関する出題である。
売掛金の C の妥当性に関する監査要点を直接的に立証するには，得意先に対す る勘定残高の確認が実施される。","[""正"", ""誤""]",1,h27a,kansa,10,以下は，監査基準「第三 実施基準」からの抜粋である。監査要点,true
h27a-kansa-10-e,"以下は，監査基準「第三 実施基準」からの抜粋である。監査要点に関する出題である。
売上の D の適切性に関する監査要点を直接的に立証するには，期末日後の時点 において，当該売上に対応する債権の回収に関連した記録の閲覧が実施される。","[""正"", ""誤""]",1,h27a,kansa,10,以下は，監査基準「第三 実施基準」からの抜粋である。監査要点,true
h27a-kansa-11-a,"リスク評価手続に関する出題である。
財務諸表監査においては，監査責任者と監査チームの主要メンバーは，財務諸表に重 要な虚偽表示が行われる可能性，並びに企業グループの実態及びその環境に基づき適用 される財務報告の枠組みについて討議しなければならないが，監査チームの主要メン バー以外のメンバーには必ずしも当該討議の結論のすべてを伝達する必要はない。","[""正"", ""誤""]",0,h27a,kansa,11,リスク評価手続,true
h27a-kansa-11-i,"リスク評価手続に関する出題である。
監査人は，経営者に対して質問を実施するだけではなく，不正又は誤謬による重要な
 虚偽表示リスクを識別するための有用な情報を持っていると判断した従業員に対しても
 質問を実施しなければならない。","[""正"", ""誤""]",0,h27a,kansa,11,リスク評価手続,true
h27a-kansa-11-u,"リスク評価手続に関する出題である。
アナリストや格付機関の報告書に記載されている被監査会社の業績予測情報は，経営
 者に業績達成に関するプレッシャーを与え，経営者が財務諸表の虚偽表示を行う動機と
 もなりうるので，監査人は当該報告書をアナリストや格付機関から直接入手しなければ
 ならない。","[""正"", ""誤""]",1,h27a,kansa,11,リスク評価手続,true
h27a-kansa-11-e,"リスク評価手続に関する出題である。
監査人は，監査に関連する内部統制を理解する際に，企業の担当者への質問とその他
 の手続により内部統制のデザインを評価するが，その評価結果にかかわらず，担当者へ
 の質問や取引のウォークスルーを通じてこれらが業務に適用されているかについて評価
 しなければならない。","[""正"", ""誤""]",1,h27a,kansa,11,リスク評価手続,true
